Model,Accuracy,Precision,Recall,F1_Score,Train_Seconds
Random Forest,0.9988,0.9966734902763562,0.9971838197644649,0.9969285897107756,6.050962448120117
Decision Tree,0.996925,0.9864608376565861,0.9979518689196109,0.99217308304168,2.979429006576538
Neural Network,0.99195,0.9765843726138966,0.9823348694316436,0.9794511805998724,13.582396984100342
SVM,0.931825,0.7553479963844532,0.9627496159754224,0.8465304744217458,42.88766431808472
